time,signal,drowsiness,delta,theta,alpha,beta
19:39:58,15,8,28,9,8,26
19:39:58,15,3,12,7,7,28
19:39:59,15,0,7,0,3,35
19:40:00,15,0,3,3,4,31
19:40:00,15,0,9,5,7,33
19:40:01,15,0,17,1,5,49
19:40:02,15,0,15,2,4,46
19:40:02,15,0,11,3,3,43
19:40:03,15,0,17,3,3,18
19:40:04,15,0,20,3,3,20
19:40:04,15,0,11,4,7,27
19:40:05,15,0,19,3,6,31
19:40:05,15,0,16,4,2,47
19:40:06,15,0,12,5,5,43
19:40:07,15,0,6,5,16,43
19:40:07,15,0,16,7,2,29
19:40:08,15,0,15,4,1,26
19:40:09,15,4,6,7,11,31
19:40:09,15,0,11,5,1,28
19:40:10,15,0,18,6,4,39
19:40:10,15,0,21,3,5,37
19:40:11,15,0,12,3,5,27
19:40:12,15,2,8,4,11,25
19:40:12,15,2,10,7,7,29
19:40:13,15,0,9,3,3,21
19:40:14,15,0,14,4,13,35
19:40:14,15,0,17,1,4,41
19:40:15,15,0,6,5,8,49
19:40:16,15,0,7,6,10,37
19:40:16,15,0,20,2,4,29
19:40:17,15,0,3,1,5,42
19:40:17,15,0,2,2,7,26
19:40:18,15,0,22,5,6,41
19:40:19,15,0,17,4,4,52
19:40:19,15,0,15,1,4,23
19:40:20,15,0,8,5,4,33
19:40:21,15,0,18,3,8,23
19:40:21,15,0,8,3,1,28
19:40:22,15,0,7,4,1,32
19:40:22,15,0,14,3,6,42
19:40:23,15,0,17,2,4,30
19:40:24,15,0,14,3,3,35
19:40:24,15,0,16,2,6,32
19:40:25,15,0,9,5,4,35
19:40:26,15,0,12,4,4,23
19:40:26,15,0,8,3,4,26
19:40:27,15,0,19,3,3,37
19:40:27,15,1,18,9,5,37
19:40:28,15,0,22,1,1,16
19:40:29,15,0,9,3,2,32
19:40:29,15,0,9,4,2,21
19:40:30,15,8,9,7,5,20
19:40:31,15,0,11,2,2,35
19:40:31,15,4,17,8,10,33
19:40:32,15,0,30,2,5,28
19:40:32,15,0,17,5,4,27
19:40:33,15,0,7,1,4,25
19:40:34,15,0,12,4,3,21
19:40:34,15,0,8,3,1,15
19:40:35,15,0,26,5,2,29
19:40:36,15,0,26,6,3,28
19:40:36,15,0,11,2,4,30
19:40:37,15,0,21,2,5,25
19:40:38,15,0,11,2,3,24
19:40:38,15,0,13,1,7,14
19:40:39,15,0,6,2,3,34
19:40:39,15,0,14,5,11,41
19:40:40,15,0,17,7,5,39
19:40:41,15,0,10,2,2,41
19:40:41,15,0,20,2,2,30
19:40:42,15,1,4,5,7,28
19:40:43,15,0,11,4,4,23
19:40:43,15,0,5,3,2,30
19:40:44,15,1,31,3,11,24
19:40:44,15,0,12,3,6,48
19:40:45,15,2,23,6,3,24
19:40:46,15,0,27,4,6,29
19:40:46,15,0,6,1,0,45
19:40:47,15,0,3,3,2,36
19:40:48,15,0,7,3,5,36
19:40:48,15,0,19,5,5,33
19:40:49,15,0,12,3,5,39
19:40:50,15,0,21,3,3,32
19:40:50,15,0,23,2,4,14
19:40:51,15,1,6,4,8,23
19:40:51,15,6,3,6,7,21
19:40:52,15,0,10,5,4,25
19:40:53,15,0,27,4,3,31
19:40:53,15,0,18,5,5,33
